year month day hour minute second milli f10.7 f10.7a bx by bz sw_vx sw_vy sw_vz n protontemperature,k ae al au min_temp max_temp mean_temp O2_min O2_max O2_mean O2+_min O2+_max O2+_mean specific_temp
2011 3 20 0 0 10 0 88.44 112.5 2.707 -3.123 -1.49 -337.6 -8.5 -20.35 6.332 3.532e+04 29 -13 16 200 661.1 800 2.246e+11 1.265e+17 4e+18 9.377e+09 6.869e+11 9.123e+12 800
2011 3 20 0 0 20 0 88.44 112.5 2.713 -3.117 -1.51 -337.6 -8.5 -20.3 6.333 3.529e+04 29 -13 16 200 661 800.1 2.245e+11 1.265e+17 4e+18 8.819e+09 1.276e+11 8.242e+11 800
2011 3 20 0 0 30 0 88.44 112.5 2.72 -3.11 -1.53 -337.6 -8.5 -20.25 6.335 3.526e+04 29 -13 16 200 661 800.1 2.244e+11 1.265e+17 4e+18 8.312e+09 7.068e+10 5.029e+11 800
2011 3 20 0 0 40 0 88.44 112.5 2.727 -3.103 -1.55 -337.6 -8.5 -20.2 6.337 3.522e+04 29 -13 16 200 660.9 800.1 2.242e+11 1.265e+17 4e+18 7.848e+09 5.161e+10 4.905e+11 800
2011 3 20 0 0 50 0 88.45 112.5 2.733 -3.097 -1.57 -337.6 -8.5 -20.15 6.338 3.519e+04 29 -13 16 200 660.9 800.2 2.241e+11 1.265e+17 4e+18 2.363e+09 4.226e+10 5.263e+11 800
2011 3 20 0 1 0 0 88.45 112.5 2.74 -3.09 -1.59 -337.6 -8.5 -20.1 6.34 3.515e+04 29 -13 16 200 660.9 800.2 2.239e+11 1.265e+17 4e+18 4.407e+08 3.675e+10 5.769e+11 800
2011 3 20 0 1 10 0 88.45 112.5 2.738 -3.09 -1.585 -337.6 -8.367 -20.32 6.362 3.532e+04 28.83 -13 15.83 200 660.8 800.2 2.238e+11 1.265e+17 4e+18 8.353e+07 3.225e+10 4.222e+11 800
2011 3 20 0 1 20 0 88.45 112.5 2.737 -3.09 -1.58 -337.6 -8.233 -20.53 6.383 3.548e+04 28.67 -13 15.67 200 660.8 800.3 2.237e+11 1.265e+17 4e+18 1.599e+07 2.904e+10 3.504e+11 800
2011 3 20 0 1 30 0 88.45 112.5 2.735 -3.09 -1.575 -337.6 -8.1 -20.75 6.405 3.564e+04 28.5 -13 15.5 200 660.8 800.3 2.235e+11 1.265e+17 4e+18 3.08e+06 2.69e+10 3.785e+11 800
2011 3 20 0 1 40 0 88.45 112.5 2.733 -3.09 -1.57 -337.6 -7.967 -20.97 6.427 3.581e+04 28.33 -13 15.33 200 660.7 800.3 2.234e+11 1.265e+17 4e+18 5.96e+05 2.542e+10 4.378e+11 800
2011 3 20 0 1 50 0 88.45 112.5 2.732 -3.09 -1.565 -337.6 -7.833 -21.18 6.448 3.597e+04 28.17 -13 15.17 200 660.7 800.4 2.232e+11 1.265e+17 4e+18 1.157e+05 2.434e+10 5.037e+11 800
2011 3 20 0 2 0 0 88.45 112.5 2.73 -3.09 -1.56 -337.6 -7.7 -21.4 6.47 3.614e+04 28 -13 15 200 660.6 800.4 2.231e+11 1.265e+17 4e+18 2.252e+04 2.352e+10 5.676e+11 800
2011 3 20 0 2 10 0 88.45 112.5 2.743 -3.073 -1.565 -337.6 -7.767 -21.35 6.475 3.635e+04 28 -12.83 15.17 200 660.6 800.4 2.229e+11 1.265e+17 4e+18 4393 2.199e+10 4.184e+11 800
2011 3 20 0 2 20 0 88.45 112.5 2.757 -3.057 -1.57 -337.6 -7.833 -21.3 6.48 3.656e+04 28 -12.67 15.33 200 660.6 800.5 2.228e+11 1.265e+17 4e+18 858.3 2.08e+10 3.484e+11 800
2011 3 20 0 2 30 0 88.45 112.5 2.77 -3.04 -1.575 -337.6 -7.9 -21.25 6.485 3.677e+04 28 -12.5 15.5 200 660.5 800.5 2.227e+11 1.265e+17 4e+18 167.9 2.011e+10 3.775e+11 800
2011 3 20 0 2 40 0 88.45 112.5 2.783 -3.023 -1.58 -337.6 -7.967 -21.2 6.49 3.698e+04 28 -12.33 15.67 200 660.5 800.5 2.225e+11 1.265e+17 4e+18 32.89 1.97e+10 4.373e+11 800
2011 3 20 0 2 50 0 88.45 112.5 2.797 -3.007 -1.585 -337.6 -8.033 -21.15 6.495 3.719e+04 28 -12.17 15.83 200 660.4 800.5 2.224e+11 1.265e+17 4e+18 6.447 1.945e+10 5.034e+11 800
2011 3 20 0 3 0 0 88.45 112.5 2.81 -2.99 -1.59 -337.6 -8.1 -21.1 6.5 3.74e+04 28 -12 16 200 660.4 800.6 2.222e+11 1.265e+17 4e+18 1.265 1.929e+10 5.675e+11 800
2011 3 20 0 3 10 0 88.45 112.5 2.815 -2.988 -1.595 -337.6 -8.467 -21 6.473 3.723e+04 28 -12 16 200 660.4 800.6 2.221e+11 1.265e+17 4e+18 0.2484 1.828e+10 4.184e+11 800
2011 3 20 0 3 20 0 88.45 112.5 2.82 -2.987 -1.6 -337.5 -8.833 -20.9 6.447 3.707e+04 28 -12 16 200 660.3 800.6 2.219e+11 1.265e+17 4e+18 0.04882 1.751e+10 3.484e+11 800
2011 3 20 0 3 30 0 88.45 112.5 2.825 -2.985 -1.605 -337.5 -9.2 -20.8 6.42 3.69e+04 28 -12 16 200 660.3 800.7 2.218e+11 1.265e+17 4e+18 0.009608 1.717e+10 3.775e+11 800
2011 3 20 0 3 40 0 88.45 112.5 2.83 -2.983 -1.61 -337.5 -9.567 -20.7 6.393 3.674e+04 28 -12 16 200 660.3 800.7 2.216e+11 1.265e+17 4e+18 0.001899 1.706e+10 4.373e+11 800
