loss1,loss2,loss3,->,source1,source2,source3,rate,temp dependent,Temp range,branching,heat,,,,,,Numerator,Denominator,Exponent,Piecewise,Min,Max,Formula Type,eol
name,name,name,goes to,name,name,name,mks,,,ratio,eV,,,,,,K,T,dimensionless,T,K,K,"1: (numerator/temp)^exponent, 2: temp*exp(numerator/temp)",
O+,N2,,,NO+,N_4S,,1.20E-18,,,1,1.1,,,,,no validated,,,,,,,,
He+,N2,,,He,N,N+,7.80E-16,,,1,0.28,,Anichich,1993,,gitm,,,,,,,,
He+,N2,,,He,N2+,,5.20E-16,,,1,0,,,,,no heating?,,,,,,,,
He+,NO,,,He,N+,O,1.35E-15,,,1,0,,,,,,,,,,,,,
He+,NO,,,He,O+,N,1.00E-16,,,1,0,,,,,,,,,,,,,
He+,O2,,,He,O+_2D,O,2.37E-16,,,1,0,,Bischof and Linder,1986,,,,,,,,,,
He+,O2,,,He,O+_2P,O,6.04E-17,,,1,0,,,,,,,,,,,,,
He+,O2,,,He,O+_4S,O,2.39E-17,,,1,0,,,,,,,,,,,,,
He+,O2,,,He,O+,O_1D,4.60E-17,,,1,0,,,,,,,,,,,,,
He+,O2,,,He,O2+,,9.20E-18,,,1,0,,,,,,,,,,,,,
He+,e-,,,He,,,4.80E-18,(250/Te)^0.7,,1,0,,,,,gitm,250,Te,0.7,,,,1,
N_4S,NO,,,N2,O,,3.40E-17,,,1,3.25,,Lee at al.,1978a+b,,gitm,,,,,,,,
N_4S,O2,,,NO,O,,1.50E-20,Tn*exp(-3270/Tn),,1,1.385,,Baulch et al,1994,,gitm,-3270,Tn,,,,,2,
N_4S,O2,,,NO,O_1S,,2.50E-17,,,1,0,,Kopp et al,1977,,??,,,,,,,,
N+,NO,,,N2+,O,,8.33E-17,(300/Ti)^0.24,,1,2.2,,Fahey et al,1981,,gitm (n branch),300,Ti,0.24,,,,1,
N+,NO,,,NO+,N_4S,,4.72E-16,(300/Ti)^0.24,,1,3.4,,Anicich,1993,,gitm (n branch),300,Ti,0.24,,,,1,
N+,O,,,O+,N,,2.20E-18,,,1,0.93,,Constantinides et al. (1979) + Bates (1989),,,gitm (n branch),,,,,,,,
N+,O2,,,NO+,O_1D,,5.50E-16,(300/Ti)^0.45,Ti<=1000,0.36,4.71,,Dotan et al. (1997) + OKeefe et al. (1986),,,gitm (n branch),300,Ti,0.45,Ti,0,1000,1,
,,,,,,,9.50E-16,,Ti>1000,,,,,,,,,,,,1000,,,
N+,O2,,,NO+,O_3P,,5.50E-16,(300/Ti)^0.45,Ti<=1000,0.09,6.67,,,,,gitm (n branch),300,Ti,0.45,Ti,0,1000,1,
,,,,,,,9.50E-16,,Ti>1000,,,,,,,,,,,,1000,,,
N+,O2,,,O+_4S,NO,,5.50E-16,(300/Ti)^0.45,Ti<=1000,0.05,2.31,,,,,gitm (n branch),300,Ti,0.45,Ti,0,1000,1,
,,,,,,,9.50E-16,,Ti>1000,,,,,,,,,,,,1000,,,
N+,O2,,,O2+,N_2D,,5.50E-16,(300/Ti)^0.45,Ti<=1000,0.15,0.1,,,,,gitm (n branch),300,Ti,0.45,Ti,0,1000,1,
,,,,,,,9.50E-16,,Ti>1000,,,,,,,,,,,,1000,,,
N+,O2,,,O2+,N_4S,,5.50E-16,(300/Ti)^0.45,Ti<=1000,0.35,2.5,,,,,gitm (n branch),300,Ti,0.45,Ti,0,1000,1,
,,,,,,,9.50E-16,,Ti>1000,,,,,,,,,,,,1000,,,
N2+,e-,,,N_2D,N_2D,,1.39E-13,(300/Te)^0.39,,0.56,1.04,,,,,gitm,300,Te,0.39,,,,1,
N2+,e-,,,N_4S,N_4S,,2.20E-13,(300/Te)^0.39,,0.44,5.77,,Zipf,1980,,gitm,300,Te,0.39,,,,1,
N2+,N_4S,,,N2,N+,,1.10E-17,,,1,2.48,,Ferguson,1973,,gitm,,,,,,,,
N2+,NO,,,N2,NO+,,3.60E-16,,,1,6.33,,Scott et al.,1999,,gitm,,,,,,,,
N2+,O,,,NO+,N_2D,,1.33E-16,(300/Ti)^0.44,Ti<=1500,1,0.7,,Scott et al.,1999,,gitm,300,Ti,0.44,Ti,0,1500,1,
,,,,,,,6.55E-17,(Ti/1500)^0.2,Ti>1500,,,,,,,,1500,Ti,-0.2,,1500,,1,
N2+,O,,,O+,N2,,7.00E-18,(300/Ti)^0.23,,1,1.96,,McFarland et al,1974,,gitm,300,Ti,0.23,,,,1,
N2+,O2,,,O2+,N2,,5.10E-17,(300/Ti)^1.16,Ti<=1000,1,3.53,,Scott et al.,1999,,gitm,300,Ti,1.16,Ti,0,1000,1,
,,,,,,,1.26E-17,(Ti/1000)^0.67,Ti>1000,,,,,,,,1000,Ti,-0.67,,1000,,1,
NO+,e-,,,N_2D,O,,3.40E-13,(300/Te)^0.85,,1,0,,Vejby-Christensen et al. (1998) and,,,,300,Te,0.85,,,,1,
NO+,e-,,,N_4S,O,,6.00E-14,(300/Te)^0.85,,1,0,,Torr and Torr,1979,,,300,Te,0.85,,,,1,
O+,H,,,O,H+,,6.40E-16,,,1,0,,Anicich,1993,,,,,,,,,,
O+,N_2D,,,N+,O,,1.30E-16,,,1,0,,Constantinides et al. (1979) + Bates (1989),,,,,,,,,,,
O+,N2,,,NO+,N,,1.20E-18,,,1,0,,St.-Maurice and Torr (1978) + Hierl et al. (1997),,,,,,,,,,,
O+,NO,,,NO+,O,,7.00E-19,(300/Ti)^-0.87,,1,0,,Dotan and Viggiano,1999,,,300,Ti,-0.87,,,,1,
O+,O2,,,O2+,O,,1.60E-17,(300/Ti)^0.52,Ti<=900,1,1.55,,,,,gitm,300,Ti,0.52,Ti,0,900,1,
,,,,,,,9.00E-18,(Ti/900)^0.92,Ti>900,,,,,,,,900,Ti,-0.92,,900,,1,
O+(2D),O2,,,O2+,O,,7.00E-17,,,1,4.865,,,,,gitm,,,,,,,,
O+(2P),O2,,,O2+,O,,1.30E-16,,,1,6.54,,,,,gitm,,,,,,,,
