name,loss1,loss2,loss3,->,source1,source2,source3,rate,temp dependent,Temp range,branching,heat,uncertainty,,Numerator,Denominator,Exponent,Piecewise,Min,Max,FormulaType,eol
reaction,name,name,name,goes to,name,name,name,mks,,,ratio,eV,,,K,T,dimensionless,T,K,K,"1: (numerator/temp)^exponent, 2: temp*exp(numerator/temp)",eol
R11,He+,e-,,,He,,,4.80E-18,(250/Te)^0.7,,1,0,0.1,gitm,250,Te,0.7,,,,1,eol
R23,N2+,e-,,,N_2D,N_2D,,1.39E-13,(300/Te)^0.39,,0.56,1.04,0.1,gitm,300,Te,0.39,,,,1,eol
R24,N2+,e-,,,N,N,,2.20E-13,(300/Te)^0.39,,0.44,5.77,0.1,gitm,300,Te,0.39,,,,1,eol
R26,N2+,NO,,,N2,NO+,,3.60E-16,,,1,6.33,0.1,gitm,,,,,,,,eol
R27,N2+,O,,,NO+,N_2D,,1.33E-16,(300/Ti)^0.44,Ti<=1500,1,0.7,0.1,gitm,300,Ti,0.44,Ti,0,1500,1,eol
R27,,,,,,,,6.55E-17,(Ti/1500)^0.2,Ti>1500,,,0.1,,1500,Ti,-0.2,,1500,,1,eol
R29,N2+,O,,,O+,N2,,7.00E-18,(300/Ti)^0.23,,1,1.96,0.1,gitm,300,Ti,0.23,,,,1,eol
R30,N2+,O2,,,O2+,N2,,5.10E-17,(300/Ti)^1.16,Ti<=1000,1,3.53,0.1,gitm,300,Ti,1.16,Ti,0,1000,1,eol
R30,,,,,,,,1.26E-17,(Ti/1000)^0.67,Ti>1000,,,0.1,,1000,Ti,-0.67,,1000,,1,eol
R31,NO+,e-,,,N_2D,O,,3.40E-13,(300/Te)^0.85,,1,0.38,0.1,gitm,300,Te,0.85,,,,1,eol
R32,NO+,e-,,,N,O,,6.00E-14,(300/Te)^0.85,,1,2.77,0.1,gitm,300,Te,0.85,,,,1,eol
R35,O+,N2,,,NO+,N,,1.20E-18,,,1,1.1,0.1,,,,,,,,,eol
R36,O+,NO,,,NO+,O,,7.00E-19,(300/Ti)^-0.87,,1,4.36,0.1,gitm,300,Ti,-0.87,,,,1,eol
R37,O+,O2,,,O2+,O,,1.60E-17,(300/Ti)^0.52,Ti<=900,1,1.55,0.1,gitm,300,Ti,0.52,Ti,0,900,1,eol
R37,,,,,,,,9.00E-18,(Ti/900)^0.92,Ti>900,,,0.1,,900,Ti,-0.92,,900,,1,eol
R38,O+_2D,O2,,,O2+,O,,7.00E-17,,,1,4.865,0.1,gitm,,,,,,,,eol
