<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni_min data from 20110319 to 20110321</B><hr><pre>Selected parameters:
 1 BX, nT (GSE, GSM)
 2 BY, nT (GSM)
 3 BZ, nT (GSM)
 4 Vx Velocity,km/s
 5 Vy Velocity, km/s
 6 Vz Velocity, km/s
 7 Proton Density, n/cc
 8 Temperature, K
 9 AE-index, nT
10 AL-index, nT
11 AU-index, nT

YYYY DOY HR MN      1       2       3       4       5       6      7        8     9    10    11 
2011  78  0  0 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    29   -18    11
2011  78  0  1 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    28   -17    11
2011  78  0  2 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    28   -17    11
2011  78  0  3   -3.44    1.50   -1.59  -339.6    11.3    11.1   3.12   27012.    29   -18    11
2011  78  0  4   -3.53    1.50   -1.43  -339.6    11.3    11.1   3.12   27012.    29   -17    12
2011  78  0  5   -3.53    1.58   -1.30  -338.6     5.9     2.9   3.34   28096.    34   -18    16
2011  78  0  6   -3.60    1.48   -1.29  -338.6     5.9     2.9   3.34   28096.    36   -18    18
2011  78  0  7   -3.47    1.52   -1.51  -338.6     5.9     2.9   3.34   28096.    39   -19    20
2011  78  0  8 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    40   -20    20
2011  78  0  9   -3.57    1.74   -0.75  -338.8     1.9    -6.3   3.07   21247.    42   -21    21
2011  78  0 10   -3.55    1.47   -1.44  -338.8     1.9    -6.3   3.07   21247.    43   -21    22
2011  78  0 11   -3.59    1.43   -1.15 99999.9 99999.9 99999.9 999.99 9999999.    42   -20    22
2011  78  0 12   -3.60    1.44   -1.24 99999.9 99999.9 99999.9 999.99 9999999.    42   -18    24
2011  78  0 13   -3.65    1.59   -0.62  -335.4    -2.6    -3.7   2.95   23194.    43   -18    25
2011  78  0 14   -3.54    1.44   -1.41  -335.4    -2.6    -3.7   2.95   23194.    45   -18    27
2011  78  0 15 9999.99 9999.99 9999.99  -335.4    -2.6    -3.7   2.95   23194.    43   -17    26
2011  78  0 16 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    41   -17    24
2011  78  0 17   -3.57    1.32   -1.48 99999.9 99999.9 99999.9 999.99 9999999.    40   -18    22
2011  78  0 18 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    37   -18    19
2011  78  0 19 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    36   -18    18
2011  78  0 20   -3.55    1.32   -1.55 99999.9 99999.9 99999.9 999.99 9999999.    37   -18    19
2011  78  0 21 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    37   -18    19
2011  78  0 22 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    37   -18    19
2011  78  0 23 9999.99 9999.99 9999.99 99999.9 99999.9 99999.9 999.99 9999999.    37   -19    18
